,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
129,17460,"Cleveland-Elyria, OH Metro Area",2015,2060810,4/1/14,2014,2015,1,both,"Cleveland-Elyria, OH Metro Area",21.0,4.4,0.198
130,17460,"Cleveland-Elyria, OH Metro Area",2016,2055612,4/1/14,2014,2015,1,both,"Cleveland-Elyria, OH Metro Area",21.0,4.4,0.198
131,17460,"Cleveland-Elyria, OH Metro Area",2017,2058844,4/1/14,2014,2015,1,both,"Cleveland-Elyria, OH Metro Area",21.0,4.4,0.198
132,17660,"Coeur d'Alene, ID Metro Area",2017,157637,3/1/16,2016,2017,1,both,"Coeur d'Alene, ID Metro Area",22.0,2.3,0.198
133,17780,"College Station-Bryan, TX Metro Area",2015,250145,10/1/14,2014,2015,1,both,"College Station-Bryan, TX Metro Area",22.0,2.3,0.198
134,17780,"College Station-Bryan, TX Metro Area",2016,254716,10/1/14,2014,2015,1,both,"College Station-Bryan, TX Metro Area",22.0,2.3,0.198
135,17780,"College Station-Bryan, TX Metro Area",2017,258860,10/1/14,2014,2015,1,both,"College Station-Bryan, TX Metro Area",22.0,2.3,0.198
136,17820,"Colorado Springs, CO Metro Area",2015,697856,5/1/14,2014,2015,1,both,"Colorado Springs, CO Metro Area",22.0,2.3,0.198
137,17820,"Colorado Springs, CO Metro Area",2016,712327,5/1/14,2014,2015,1,both,"Colorado Springs, CO Metro Area",22.0,2.3,0.198
138,17820,"Colorado Springs, CO Metro Area",2017,723878,5/1/14,2014,2015,1,both,"Colorado Springs, CO Metro Area",22.0,2.3,0.198
139,17860,"Columbia, MO Metro Area",2016,176594,3/1/15,2015,2016,1,both,"Columbia, MO Metro Area",22.0,2.3,0.198
140,17860,"Columbia, MO Metro Area",2017,178271,3/1/15,2015,2016,1,both,"Columbia, MO Metro Area",22.0,2.3,0.198
