,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
195,16580,"Champaign-Urbana, IL Metro Area",Bus,2016,1,1,4964,2.9372781065088756
196,16580,"Champaign-Urbana, IL Metro Area",Bus,2017,1,2,7932,4.693491124260355
197,16580,"Champaign-Urbana, IL Metro Area",Bus,2018,1,3,11270,6.668639053254438
198,16620,"Charleston, WV Metro Area",Bus,2014,1,0,445,1.0
199,16620,"Charleston, WV Metro Area",Bus,2015,1,1,1690,3.797752808988764
200,16620,"Charleston, WV Metro Area",Bus,2016,1,2,4964,11.155056179775281
201,16620,"Charleston, WV Metro Area",Bus,2017,1,3,7932,17.824719101123595
202,16620,"Charleston, WV Metro Area",Bus,2018,1,4,11270,25.325842696629213
203,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2014,1,0,445,1.0
204,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2015,1,1,1690,3.797752808988764
205,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2016,1,2,4964,11.155056179775281
206,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2017,1,3,7932,17.824719101123595
207,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2018,1,4,11270,25.325842696629213
208,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2013,1,0,103,1.0
209,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2014,1,1,445,4.320388349514563
210,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2015,1,2,1690,16.40776699029126
211,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2016,1,3,4964,48.19417475728155
212,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2017,1,4,7932,77.00970873786407
213,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2018,1,5,11270,109.41747572815534
214,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2013,1,0,103,1.0
215,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2014,1,1,445,4.320388349514563
216,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2015,1,2,1690,16.40776699029126
217,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2016,1,3,4964,48.19417475728155
218,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2017,1,4,7932,77.00970873786407
219,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2018,1,5,11270,109.41747572815534
220,16860,"Chattanooga, TN-GA Metro Area",Bus,2014,1,0,445,1.0
221,16860,"Chattanooga, TN-GA Metro Area",Bus,2015,1,1,1690,3.797752808988764
222,16860,"Chattanooga, TN-GA Metro Area",Bus,2016,1,2,4964,11.155056179775281
223,16860,"Chattanooga, TN-GA Metro Area",Bus,2017,1,3,7932,17.824719101123595
224,16860,"Chattanooga, TN-GA Metro Area",Bus,2018,1,4,11270,25.325842696629213
225,16860,"Chattanooga, TN-GA Metro Area",Rail,2014,1,0,445,1.0
226,16860,"Chattanooga, TN-GA Metro Area",Rail,2015,1,1,1690,3.797752808988764
227,16860,"Chattanooga, TN-GA Metro Area",Rail,2016,1,2,4964,11.155056179775281
228,16860,"Chattanooga, TN-GA Metro Area",Rail,2017,1,3,7932,17.824719101123595
229,16860,"Chattanooga, TN-GA Metro Area",Rail,2018,1,4,11270,25.325842696629213
230,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2012,1,1,15,1.0
231,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2013,1,2,103,6.866666666666666
232,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2014,1,3,445,29.666666666666668
233,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2015,1,4,1690,112.66666666666667
234,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2016,1,5,4964,330.93333333333334
235,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2017,1,6,7932,528.8
236,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2018,1,7,11270,751.3333333333334
237,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2012,1,1,15,1.0
238,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2013,1,2,103,6.866666666666666
239,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2014,1,3,445,29.666666666666668
240,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2015,1,4,1690,112.66666666666667
241,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2016,1,5,4964,330.93333333333334
242,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2017,1,6,7932,528.8
243,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2018,1,7,11270,751.3333333333334
244,17020,"Chico, CA Metro Area",Bus,2015,1,0,1690,1.0
245,17020,"Chico, CA Metro Area",Bus,2016,1,1,4964,2.9372781065088756
246,17020,"Chico, CA Metro Area",Bus,2017,1,2,7932,4.693491124260355
247,17020,"Chico, CA Metro Area",Bus,2018,1,3,11270,6.668639053254438
248,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2014,1,0,445,1.0
249,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2015,1,1,1690,3.797752808988764
250,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2016,1,2,4964,11.155056179775281
251,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2017,1,3,7932,17.824719101123595
252,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2018,1,4,11270,25.325842696629213
253,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2016,1,2,4964,1.0
254,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2017,1,3,7932,1.5979049153908138
255,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2018,1,4,11270,2.2703464947622884
256,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2014,1,0,445,1.0
257,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2015,1,1,1690,3.797752808988764
258,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2016,1,2,4964,11.155056179775281
259,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2017,1,3,7932,17.824719101123595
260,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2018,1,4,11270,25.325842696629213
261,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2014,1,0,445,1.0
262,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2015,1,1,1690,3.797752808988764
263,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2016,1,2,4964,11.155056179775281
264,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2017,1,3,7932,17.824719101123595
265,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2018,1,4,11270,25.325842696629213
266,17780,"College Station-Bryan, TX Metro Area",Bus,2014,1,0,445,1.0
267,17780,"College Station-Bryan, TX Metro Area",Bus,2015,1,1,1690,3.797752808988764
268,17780,"College Station-Bryan, TX Metro Area",Bus,2016,1,2,4964,11.155056179775281
269,17780,"College Station-Bryan, TX Metro Area",Bus,2017,1,3,7932,17.824719101123595
270,17780,"College Station-Bryan, TX Metro Area",Bus,2018,1,4,11270,25.325842696629213
271,17820,"Colorado Springs, CO Metro Area",Bus,2014,1,0,445,1.0
272,17820,"Colorado Springs, CO Metro Area",Bus,2015,1,1,1690,3.797752808988764
273,17820,"Colorado Springs, CO Metro Area",Bus,2016,1,2,4964,11.155056179775281
274,17820,"Colorado Springs, CO Metro Area",Bus,2017,1,3,7932,17.824719101123595
275,17820,"Colorado Springs, CO Metro Area",Bus,2018,1,4,11270,25.325842696629213
276,17860,"Columbia, MO Metro Area",Bus,2014,1,0,445,1.0
277,17860,"Columbia, MO Metro Area",Bus,2015,1,1,1690,3.797752808988764
278,17860,"Columbia, MO Metro Area",Bus,2016,1,2,4964,11.155056179775281
279,17860,"Columbia, MO Metro Area",Bus,2017,1,3,7932,17.824719101123595
280,17860,"Columbia, MO Metro Area",Bus,2018,1,4,11270,25.325842696629213
281,17900,"Columbia, SC Metro Area",Bus,2014,1,0,445,1.0
282,17900,"Columbia, SC Metro Area",Bus,2015,1,1,1690,3.797752808988764
283,17900,"Columbia, SC Metro Area",Bus,2016,1,2,4964,11.155056179775281
284,17900,"Columbia, SC Metro Area",Bus,2017,1,3,7932,17.824719101123595
285,17900,"Columbia, SC Metro Area",Bus,2018,1,4,11270,25.325842696629213
286,18140,"Columbus, OH Metro Area",Bus,2013,1,0,103,1.0
