UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Canton, OH",Bus,50011,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723707.0,1721131.0,1541347.0,1483114.0
"Canton, OH",DemandResponse,50011,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449523.0,617523.0,683379.0,643743.0
"Cape Coral, FL",Bus,40028,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869873.0,3109933.0,2863041.0,2738734.0
"Cape Coral, FL",DemandResponse,80056,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495442.0,535971.0,618539.0,641098.0
"Carbondale, IL",Bus,100415,816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350331.0,326509.0,298607.0,318097.0
"Carbondale, IL",DemandResponse,50204,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42656.0,35265.0,28544.0,0.0
"Casper, WY",Bus,80013,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61322.0,57268.0,69027.0,65166.0
"Casper, WY",DemandResponse,80013,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63768.0,64542.0,56455.0,57101.0
"Cedar Rapids, IA",Bus,70008,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860277.0,960334.0,848339.0,820737.0
"Cedar Rapids, IA",DemandResponse,70008,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221289.0,277293.0,218151.0,365396.0
"Champaign, IL",Bus,50060,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6810469.0,7223714.0,7306149.0,7377733.0
"Champaign, IL",DemandResponse,100120,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250389.0,257044.0,265464.0,276810.0
"Charleston, WV",Bus,30001,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004733.0,1935009.0,1965112.0,1845722.0
"Charleston, WV",DemandResponse,30001,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49439.0,51563.0,60383.0,55525.0
"Charleston-North Charleston, SC",Bus,80220,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2950311.0,2934769.0,4757434.0,4302911.0
"Charleston-North Charleston, SC",DemandResponse,40110,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264624.0,688402.0,375200.0,323875.0
